title,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross
Getaway,2013,90.0,Crime,20,"Aug 30, 2013","$18,000,000",10501938.0,11813989.0
Getaway,2013,90.0,Thriller,20,"Aug 30, 2013","$18,000,000",10501938.0,11813989.0
Ghost,2010,115.0,Drama,5,"Jul 13, 1990","$22,000,000",217631306.0,517600000.0
Ghost,2010,115.0,Fantasy,5,"Jul 13, 1990","$22,000,000",217631306.0,517600000.0
Ghost,2010,115.0,Mystery,5,"Jul 13, 1990","$22,000,000",217631306.0,517600000.0
Ghost,2012,118.0,Horror,5,"Jul 13, 1990","$22,000,000",217631306.0,517600000.0
Ghost Rider: Spirit of Vengeance,2011,96.0,Action,73,"Feb 17, 2012","$57,000,000",51774002.0,149217355.0
Ghost Rider: Spirit of Vengeance,2011,96.0,Fantasy,73,"Feb 17, 2012","$57,000,000",51774002.0,149217355.0
Ghost Rider: Spirit of Vengeance,2011,96.0,Thriller,73,"Feb 17, 2012","$57,000,000",51774002.0,149217355.0
Ghost Town,2018,26.0,Documentary,31,"Sep 19, 2008","$20,000,000",13367624.0,29958228.0
Ghost Town,2018,26.0,History,31,"Sep 19, 2008","$20,000,000",13367624.0,29958228.0
Ghost in the Shell,2017,107.0,Action,40,"Mar 31, 2017","$110,000,000",40563557.0,167910690.0
Ghost in the Shell,2017,107.0,Drama,40,"Mar 31, 2017","$110,000,000",40563557.0,167910690.0
Ghost in the Shell,2017,107.0,Sci-Fi,40,"Mar 31, 2017","$110,000,000",40563557.0,167910690.0
Ghostbusters,2016,116.0,Action,4,"Jul 15, 2016","$144,000,000",128350574.0,229008658.0
