title,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross
Hits,2014,96.0,Comedy,88,"Feb 13, 2015","$1,000,000",15156.0,15156.0
Hits,2014,96.0,Drama,88,"Feb 13, 2015","$1,000,000",15156.0,15156.0
Hobo with a Shotgun,2011,86.0,Action,33,"May 6, 2011","$3,000,000",703372.0,834953.0
Hobo with a Shotgun,2011,86.0,Comedy,33,"May 6, 2011","$3,000,000",703372.0,834953.0
Hobo with a Shotgun,2011,86.0,Horror,33,"May 6, 2011","$3,000,000",703372.0,834953.0
Holmes & Watson,2018,90.0,Adventure,58,"Dec 25, 2018","$42,000,000",30568743.0,41926605.0
Holmes & Watson,2018,90.0,Comedy,58,"Dec 25, 2018","$42,000,000",30568743.0,41926605.0
Holmes & Watson,2018,90.0,Crime,58,"Dec 25, 2018","$42,000,000",30568743.0,41926605.0
Holy Motors,2012,115.0,Drama,25,"Oct 17, 2012","$4,000,000",641054.0,4230426.0
Holy Motors,2012,115.0,Fantasy,25,"Oct 17, 2012","$4,000,000",641054.0,4230426.0
Home,2011,76.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2011,76.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2011,76.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2011,7.0,Documentary,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2011,7.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2011,7.0,Family,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2011,7.0,Documentary,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2011,7.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2011,7.0,Family,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2011,7.0,Documentary,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2011,7.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2011,7.0,Family,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2011,127.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2011,127.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2011,127.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2015,94.0,Adventure,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2015,94.0,Animation,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2015,94.0,Comedy,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2015,94.0,Adventure,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2015,94.0,Animation,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2015,94.0,Comedy,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2015,94.0,Adventure,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2015,94.0,Animation,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2015,94.0,Comedy,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2013,90.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2013,90.0,Romance,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2013,90.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2013,90.0,Romance,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2013,90.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2013,90.0,Romance,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2013,112.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2013,112.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2013,112.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2016,87.0,Drama,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2016,87.0,Horror,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2016,87.0,Thriller,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
Home,2016,87.0,Drama,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2016,87.0,Horror,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2016,87.0,Thriller,56,"Jun 5, 2009","$12,000,000",0.0,0.0
Home,2016,87.0,Drama,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2016,87.0,Horror,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2016,87.0,Thriller,60,"Apr 23, 2009","$500,000",15433.0,44793168.0
Home,2012,3.0,Biography,44,"Mar 27, 2015","$130,000,000",177397510.0,385997896.0
